Time      |Conveyor Belt       |KUKA Robot          |CNC Lathe           |Workpiece ID        |KUKA Operation      |CNC Lathe Operation 
          |Status    |R_Time   |Status    |R_Time   |Status    |R_Time   
00:26:40  |Idle      |-s       |Idle      |-s       |Occupied  |2s       |WID_DRL729          |null                |Turning             
00:26:41  |Idle      |-s       |Idle      |-s       |Occupied  |1s       |WID_DRL729          |null                |Turning             
00:26:43  |Idle      |-s       |Idle      |-s       |Occupied  |0s       |WID_DRL729          |null                |Threading           
00:26:44  |Idle      |-s       |Idle      |-s       |Occupied  |4s       |WID_DRL729          |null                |Threading           
00:26:46  |Idle      |-s       |Idle      |-s       |Occupied  |3s       |WID_DRL729          |null                |Threading           
00:26:47  |Idle      |-s       |Idle      |-s       |Occupied  |2s       |WID_DRL729          |null                |Threading           
00:26:48  |Idle      |-s       |Idle      |-s       |Occupied  |0s       |WID_DRL729          |null                |Threading           
00:26:50  |Idle      |-s       |Idle      |-s       |Idle      |-s       |WID_DRL729          |null                |null                
Operation A Completed!
----------------------------------------------------------------------------------------------------------------------------------
00:26:51  |Occupied  |4s       |Idle      |-s       |Idle      |-s       |WID_DRL712          |null                |null                
00:26:52  |Occupied  |3s       |Idle      |-s       |Idle      |-s       |WID_DRL712          |null                |null                
00:26:53  |Occupied  |1s       |Idle      |-s       |Idle      |-s       |WID_DRL712          |null                |null                
00:26:55  |Occupied  |0s       |Idle      |-s       |Idle      |-s       |WID_DRL712          |null                |null                
00:26:56  |Idle      |-s       |Idle      |-s       |Occupied  |7s       |WID_DRL712          |null                |Turning             
00:26:57  |Idle      |-s       |Idle      |-s       |Occupied  |6s       |WID_DRL712          |null                |Turning             
00:26:59  |Idle      |-s       |Idle      |-s       |Occupied  |4s       |WID_DRL712          |null                |Turning             
00:27:00  |Idle      |-s       |Idle      |-s       |Occupied  |3s       |WID_DRL712          |null                |Turning             
00:27:01  |Idle      |-s       |Idle      |-s       |Occupied  |2s       |WID_DRL712          |null                |Turning             
00:27:03  |Idle      |-s       |Idle      |-s       |Occupied  |0s       |WID_DRL712          |null                |Turning             
00:27:04  |Idle      |-s       |Idle      |-s       |Occupied  |4s       |WID_DRL712          |null                |Drilling            
00:27:05  |Idle      |-s       |Idle      |-s       |Occupied  |3s       |WID_DRL712          |null                |Drilling            
00:27:07  |Idle      |-s       |Idle      |-s       |Occupied  |1s       |WID_DRL712          |null                |Drilling            
00:27:08  |Idle      |-s       |Idle      |-s       |Occupied  |0s       |WID_DRL712          |null                |Drilling            
00:27:09  |Idle      |-s       |Idle      |-s       |Occupied  |7s       |WID_DRL712          |null                |Turning             
00:27:11  |Idle      |-s       |Idle      |-s       |Occupied  |5s       |WID_DRL712          |null                |Turning             
00:27:12  |Idle      |-s       |Idle      |-s       |Occupied  |4s       |WID_DRL712          |null                |Turning             
00:27:13  |Idle      |-s       |Idle      |-s       |Occupied  |3s       |WID_DRL712          |null                |Turning             
00:27:15  |Idle      |-s       |Idle      |-s       |Occupied  |1s       |WID_DRL712          |null                |Turning             
00:27:16  |Idle      |-s       |Idle      |-s       |Occupied  |5s       |WID_DRL712          |null                |Threading           
00:27:18  |Idle      |-s       |Idle      |-s       |Occupied  |4s       |WID_DRL712          |null                |Threading           
00:27:19  |Idle      |-s       |Idle      |-s       |Occupied  |3s       |WID_DRL712          |null                |Threading           
00:27:21  |Idle      |-s       |Idle      |-s       |Occupied  |1s       |WID_DRL712          |null                |Threading           
00:27:22  |Idle      |-s       |Idle      |-s       |Occupied  |0s       |WID_DRL712          |null                |Threading           
00:27:23  |Idle      |-s       |Idle      |-s       |Idle      |-s       |WID_DRL712          |null                |null                
Operation A Completed!
----------------------------------------------------------------------------------------------------------------------------------
